Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Structure Fund,http://www.structurefund.com/,,,USA,,,Other,,
Studio Sia Partners,https://www.sia-partners.com/en/who-we-are/studio,https://www.linkedin.com/company/sia-partners/,"21 Rue de Berri, Paris, Île-de-France 75008, FR",France,"3. Early Revenue,4. Scaling","We invest in B2B tech startups with a strong ambition for French and international development, the capacity to address key accounts, and the ability to create synergies with consulting professions. ",VC,"$300,000 ","$700,000 "
Subvisual,https://subvisual.com/,https://www.linkedin.com/company/wearesubvisual,"Avenida João Paulo II, 404, 4andar, Sala45, Braga, 4715275, PT","Portugal,UK,USA","1. Idea or Patent,2. Prototype","We invest in digital companies that push forward FinTech, Digital Healthcare, and others. We also create and buy companies.",PE fund,"$25,000 ","$250,000 "
Suez Ventures,https://www.suez.com/en/Who-we-are/Innovating-for-the-future/SUEZ-Ventures,,France,France,3. Early Revenue,,Corporate VC,"$500,000 ",
Sumitomo Corporation Equity Asia​,http://www.scequity.com.hk/,,,Hong Kong,,,VC,,
Summation Health Ventures,https://www.shv.io/,,,,,,,,
Summit Partners,https://www.summitpartners.com/,,USA,"USA,Israel,Canada",,,VC,"$10,000,000 ",
SummitVision Capital,http://www.summitvisioncapital.com,,"San Francisco, California, United States",USA,,,Family office,,
Sumo Ventures,http://sumo.vc,,"Dallas, Texas, United States",USA,,,Family office,,
Sunbridge Partners,https://sunbridgepartners.com/,,,,,,,,
Suning Investment,http://www.suningholdings.com/cms/snInvestment/index.htm,,"Shanghai, Shanghai, China",China,,,Corporate VC,,
Sunstone Capital,http://tech.sunstone.eu/,,,,"2. Prototype,3. Early Revenue",,VC,,
Sunstone Life Science Ventures,https://www.sunstone.eu/,,Denmark,Denmark,3. Early Revenue,,VC,,
Sunstone Partners,https://www.sunstonepartners.com/,,USA,USA,3. Early Revenue,,VC,,
Super Hero Capital,https://www.superherocapital.com/,,Finland,"Finland,UK",,,VC,"$200,000 ",
Super Ventures,http://www.superventures.com/,,,,,,VC,,
SuperSet,https://www.superset.com/,,,,"2. Prototype,3. Early Revenue",,Startup studio,,
Supernode Ventures,https://supernode.vc/,https://www.linkedin.com/company/supernode-ventures/,"Flatiron District, NYC, US","USA,Mexico,Brazil,Colombia","3. Early Revenue,4. Scaling",We invest in all verticals (generalist fund) and are looking to support outstanding entrepreneurs in their journeys to massively scale their companies.,VC,"$50,000 ","$100,000 "
Supernova Invest,http://supernovainvest.com/,,France,France,3. Early Revenue,,VC,,
SuperSeed,https://www.superseed.com/,https://www.linkedin.com/company/superseed-vc,"231-232 Strand, London, WC2R 1DA, United Kingdom",UK,"2. Prototype,3. Early Revenue","We invest in UK-based B2B startups working on business automation (enterprise software / SaaS, Industry 4.0 / deep tech)",VC,"$100,000 ","$750,000 "
Superseed Ventures,https://superseed.ventures,https://www.linkedin.com/company/25042126/admin/,"Melbourne, Victoria, Australia",Australia,,,Corporate VC,,
Supply Chain Ventures,https://supplychainventure.com/,,USA,USA,3. Early Revenue,,VC,,
Supremum Capital,http://www.supremum-capital.com/,,,,,,VC,,
Sure,https://www.sureventuresplc.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Surround Ventures,https://surround.vc/,,,UK,"2. Prototype,3. Early Revenue",,VC,,
Susa Ventures,https://susaventures.com/,https://www.linkedin.com/company/susa-ventures/,"660 York St Suite 201, San Francisco, CA 94110, United States","USA,Canada,Nigeria,Mexico,India","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in companies building compounding moats, such as network effects, proprietary data, or economies of scale. Compounding moats enable businesses to become more defensible with scale. ",VC,"$1,000,000 ","$2,000,000 "
Susquehanna Growth Equity,https://sgep.com/,,,,5. Growth,,VC,,
Sussex Place Ventures,http://www.spventures.com/,,,,,,VC,,
SustainVC,https://sustainvc.com/,,,,,,,,
SV Angel,https://www.svangel.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
SV Latam Capital,http://www.svlatamcap.com/,,,,,,Other,,
SVB Silicon Valley Bank,http://www.svb.com/,,,USA,,,Other,,
SWaN & Legend Venture Partners,https://www.swanandlegend.com/,https://www.linkedin.com/company/swan-&-legend-venture-partners,"Leesburg, VA, USA",USA,"3. Early Revenue,4. Scaling","We invest in US-based consumer technology, e-commerce, or consumer/retail SaaS businesses. Other areas include restaurants, media, and edtech.",VC,"$4,000,000 ","$15,000,000 "
SWAN Funds,http://www.swanventurefund.com/,,,,,,Angel network,,
Sway Ventures,https://swayvc.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Sweetwood Ventures,https://www.sweetwoodcapital.com/ab,,,UK,"5. Growth,6. Pre-IPO",,VC,,
Swell Ventures,https://www.swell.vc/,,,,,,,,
Swift River Investments,http://www.srinvestments.com,,"Bolton, Massachusetts, United States",USA,,,Family office,,
Swing Ventures,https://www.swing.ventures,https://www.linkedin.com/company/11130064/,"New York, New York, United States",USA,,,Family office,,
Swisscom Ventures,https://ventures.swisscom.com/,https://www.linkedin.com/company/swisscom-ventures/,"Zürich, Zurich, Switzerland","Switzerland,USA,Germany,Portugal","4. Scaling,5. Growth,3. Early Revenue,6. Pre-IPO","Swisscom Ventures is the venture capital arm of Swisscom AG, the leading telecom and ICT provider in Switzerland. Since 2007, we have invested in over 50 technology companies from our offices in Switzerland (Zurich and Bern) and the USA (Silicon Valley). As a strategic investor, we offer entrepreneurs access to our technical infrastructure and market channels in addition to financial support.",Corporate VC,"$1,000,000 ","$10,000,000 "
Switch VC,http://www.switch.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
SYD Ventures,http://syd.vc/,,Australia,Australia,,,VC,,
Symantec Ventures,https://www.symantec.com/symantec-ventures,,,,,,Corporate VC,,
Symmetrical Ventures,http://www.symmetricalventures.io,,,,,,VC,,
Synapse Partners,https://synapsepartners.co/,,,,,,,,
Synchrony Ventures,https://www.synchrony.com/ventures.html,,"San Francisco, California, United States",USA,,,Corporate VC,,
Syncona,https://www.synconaltd.com/,,UK,UK,3. Early Revenue,,VC,,
