Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
HBCUVC,http://www.hbcu.vc/,https://www.google.com/url?q=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fhbcuvc%2Fmycompany%2F&sa=D&sntz=1&usg=AOvVaw3Qyvy3zP3LnrbJNRrimz1H,,,,,Other,,
HCAP Partners,https://www.hcapllc.com/,https://www.linkedin.com/company/hcap-partners,,,,,Other,,
HCV Half Court Ventures,http://www.halfcourt.vc/,https://www.linkedin.com/in/robmay,,,,,Other,,
Heal Capital,https://healcapital.com/,https://www.linkedin.com/in/eckhardt-weber-11651b39/,Germany,"Germany,UK,Spain,France,Italy,Poland,Netherlands,Austria,Switzerland,Norway,Sweden,Finland",3. Early Revenue,Heal Capital is a healthtech specialist fund that invests at the convergence of healthcare and technology across the full patient journey,VC,"$1,000,000 ","$5,000,000 "
Health Innovations,https://www.healthinnovations.nl/,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Health Velocity Capital,https://healthvelocitycap.com/,,,,,,,,
Healthbox,http://www.healthbox.com/,https://www.linkedin.com/company/healthbox,,,,,VC,,
HealthInvest Equity Partners,http://www.healthinvestequity.com,,,,,,,,
HealthTech Capital,http://www.healthtechcapital.com/,https://www.linkedin.com/company/healthtech-capital/,,,,,Angel network,,
HealthX Ventures,https://www.healthxventures.com/,,,,,,,,
Healthy Ventures,https://www.healthy.vc/,https://www.linkedin.com/company/healthy-ventures/,"1 Letterman Drive Building C, Floor P, Suite 500, San Francisco, CA 94129, United States",USA,3. Early Revenue,We invest in infrastructural solutions that enable technologies to scale healthcare. These are often enterprise- and developer-facing products.,VC,"$1,000,000 ","$2,000,000 "
Healthy.Capital,https://healthy.capital/,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Hearst Ventures,https://www.hearst.com/ventures,https://www.linkedin.com/company/hearst-ventures/,"New York, New York, United States","USA,Israel,UK,France","3. Early Revenue,4. Scaling",,Corporate VC,,
Heartcore Capital,http://www.heartcore.com/,https://www.linkedin.com/company/heartcorecapital/about/,,"Denmark,Germany,France","3. Early Revenue,4. Scaling",,Other,,
Heartland Ventures,https://www.heartlandvc.com/,http://www.linkedin.com/company/heartlandventures,,,"2. Prototype,3. Early Revenue",,VC,,
Heartwood Partners,https://heartwoodpartners.com/,https://www.linkedin.com/company/heartwoodpartners/,,,,,VC,,
Heavy Bit,https://www.heavybit.com/,,,,"2. Prototype,3. Early Revenue",,,,
Helen Ventures,https://www.helenventures.fi/,,,UK,,,VC,,
Hella Ventures,http://HellaVentures.com,https://www.linkedin.com/company/hella-ventures,"Sunnyvale, California, United States",USA,,,Corporate VC,,
Hellman Global,http://www.hellmanglobal.com,https://www.linkedin.com/company/hellman-global/,"San Diego, California, United States",USA,,,Family office,,
Helpful Capital,http://www.helpful.vc/,https://www.linkedin.com/in/jacobbrody/,,,"3. Early Revenue,4. Scaling",,VC,,
Hemi Ventures,https://www.hemi.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
Hemisphere Venture,https://www.hemisphere.com,,USA,USA,2. Prototype,,VC,,
henQ Capital,http://henq.nl/,,,,,,VC,,
HenQ Capital Partners,https://henq.vc/,https://www.linkedin.com/company/henq-invest/mycompany/,Netherlands,"Netherlands,France,Finland,Germany,Estonia,Latvia,Belgium,Luxembourg,Spain,Portugal,Italy,Ukraine,UK,Switzerland,Sweden,Norway,Belarus,Poland,Czech Republic,Slovakia,Slovenia,Romania,Hungary,Russia,Ireland,Greece,North Macedonia,Serbia,Croatia,Lithuania,Bulgaria,Moldova,Austria,Denmark","2. Prototype,1. Idea or Patent,3. Early Revenue",NTA,VC,"$200,000 ","$5,000,000 "
Heritas Capital Management,https://www.heritascapital.com/,https://www.linkedin.com/company/heritas-capital,Singapore,"Singapore,USA",3. Early Revenue,,VC,,
Heroic Ventures,https://www.heroicvc.com/,https://www.linkedin.com/company/heroic-ventures/,,,,,,,
Hetz Ventures,https://www.hetz.vc,https://www.linkedin.com/company/hetz-ventures/,,UK,"3. Early Revenue,4. Scaling",,VC,,
Hewlett Packard Pathfinder,https://www.hewlettpackardpathfinder.com/,,"Palo Alto, California, United States",USA,,,Corporate VC,,
HG Ventures by The Heritage Group,https://hgventures.com/,https://www.linkedin.com/company/hgventures/,"6320 Intech Way, Indianapolis, Indiana 46278, US","Israel,USA,Canada,UK","3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We  invest in companies from seed to growth-equity stage in chemicals, construction, materials science and sustainability with thematic connections to The Heritage Group",Corporate VC,"$1,000,000 ","$9,000,000 "
HGL Hudson Investment Group,https://www.higl.com.au/,https://www.linkedin.com/company/hudson-investment-group-ltd,Australia,Australia,,,Other,,
Hi Inov by Dentressangle,https://www.hiinov.com/fr/,https://www.linkedin.com/company/hi-inov/,"24-26, Place de la Madeleine 75008 Paris (AccÃ¨s 7, Rue Vignon)","France,Germany,Belgium,Austria,Switzerland","4. Scaling,3. Early Revenue",We invest in B2B Software startups at Series A & Series B.,VC,"$1,000,000 ","$10,000,000 "
HiCenter Ventures,https://hicenter.co.il/,https://www.linkedin.com/company/hicenter---haifa-business-accelerator/,,,"2. Prototype,3. Early Revenue",,VC,,
High Flyers Capital,https://highflyerscapital.com/,https://www.linkedin.com/company/highflyerscapital,"16 cours Albert 1er, 75008 Paris, France",France,3. Early Revenue,"We invest in FR-based food & foodtech companies (Brands & Products, Delivery, Digitization, Green Transition, MarketPlace, Novel Foods, Nutrition, etc.) with >500 kâ‚¬ turnover.",VC,"$250,000 ","$350,000 "
HighGrade Ventures,https://highgradevc.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Highland Capital Management,https://www.highlandcapital.com/,https://www.linkedin.com/company/highland-capital-mgmt/,,,,,VC,,
Highland Capital Partners,https://www.hcp.com/,,"Palo Alto, California, United States","USA,UK,Switzerland,France","3. Early Revenue,4. Scaling",,VC,,
Highland Europe,http://www.highlandeurope.com/,https://www.linkedin.com/company/highland-europe/,,,,,Other,,
Highroad,https://highroad.center,https://www.linkedin.com/company/highroad-innovation/,,,"2. Prototype,3. Early Revenue",,VC,,
Highsystems,http://www.highsystem.ch/,,,,"2. Prototype,3. Early Revenue",,VC,,
Hikma Ventures,https://www.hikmaventures.com,https://www.linkedin.com/company/hikma-ventures,"London, England, United Kingdom","USA,Israel,Canada,UK",3. Early Revenue,,Corporate VC,,
HIL Fund,https://hil.haifa.ac.il/hil-fund/,,,,"2. Prototype,3. Early Revenue",,VC,,
Hildred Capital Partners,http://hildredpartners.com/,,"New York, New York, United States",USA,,,Family office,,
Hillhouse Capital,https://www.hillhousecap.com/,https://www.linkedin.com/company/hillhouse-capital-management/about/,China,"China,USA",3. Early Revenue,,VC,"$500,000 ",
Hillman,https://hill7.org/,,,,"2. Prototype,3. Early Revenue",,"Incubator, Accelerator",,
Hillsven,https://hillsven.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Hina Group,http://www.hinagroup.com/,,China,China,3. Early Revenue,,VC,,
Hippocrates VC,http://hippocratesvc.com/,https://www.linkedin.com/in/girardlaurence/,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
Hiro Capital,https://hiro.capital/,https://www.linkedin.com/in/timlongojr,,UK,,,VC,,
Hiroshima Venture Capital,http://www.h-vc.co.jp/,,,Japan,,,VC,,
Hirschvogel Ventures,https://www.hirschvogel.ventures/,https://www.linkedin.com/company/hirschvogel-ventures/,"Am Penzinger Feld 13, 86899 Landsberg, Germany","Germany,Austria,Switzerland,Belgium,Netherlands,UK,Slovenia,Spain,Croatia","3. Early Revenue,4. Scaling,5. Growth",We invest in European-based deep-tech startups in seed and series a / b rounds.,Corporate VC,"$250,000 ","$10,000,000 "
Hitachi,http://www.hitachi.com/,https://www.linkedin.com/company/hitachi/,,Japan,,,Corporate VC,,
Hitachi Ventures,https://www.linkedin.com/company/hitachi-ventures-gmbh/,https://www.linkedin.com/company/hitachi-ventures-gmbh/,"Leopoldstrasse 154, 80804 Munich, Germany","Germany,USA,Israel,UK,Canada,Switzerland,Spain,France,Estonia,Romania,Sweden","3. Early Revenue,4. Scaling,5. Growth","We invest in Series A-C companies that have strategic synergies with Hitachi over across Industrial IoT, robotics, energy, automotive, fintech, cybersecurity, digital health, genomics, etc., with early revenues of $1M+.",Corporate VC,"$1,000,000 ","$7,000,000 "
Hiventures,https://www.hiventures.hu/,https://www.linkedin.com/company/hiventures,Hungary,Hungary,3. Early Revenue,,VC,,
Hivers and Strivers,http://hiversandstrivers.com/,https://www.linkedin.com/company/hnscapital/,,,,,Angel network,,
HKSTP,https://www.hkstp.org/innovate-with-us/investment-opportunities/hkstp-ventures/,https://www.linkedin.com/company/hong-kong-science-and-technology-parks-corporation/,Hong Kong,"USA,Israel,Canada",3. Early Revenue,,VC,,
HLM Venture Partners,https://hlmvp.com/,,"Boston, Massachusetts, United States",USA,,,Other,,
HoaQ,https://hoaq.club/,https://www.linkedin.com/company/hoaq/,"60 Summerseat Avenue, Clonee, D15 P5FK, Ireland","Nigeria,France,UK","3. Early Revenue,4. Scaling","We invest in founders and teams with domain expertise, technical know-how, and have attained some traction within a large defined opportunity.",Angel network,"$5,000 ","$50,000 "
HOF Capital,https://www.hofvc.com/,,USA,"USA,Israel,Canada","2. Prototype,3. Early Revenue",,VC,,
Hokkaido Venture Capital,http://www.hokkaido-vc.com/,,,Japan,,,VC,,
Holland Capital,https://hollandcapital.nl/,,,Netherlands,"2. Prototype,3. Early Revenue",,PE fund,,
Holson Asset Management,https://www.holsonam.com/,,"San Clemente, California, United States",USA,,,Family office,,
Holtzbrinck Digital,http://www.holtzbrinck-digital.com,https://www.linkedin.com/company/holtzbrinck-digital-gmbh/about/,"MÃ¼nchen, Bayern, Germany",Germany,,,Corporate VC,,
Homebrew,https://homebrew.co/,,"San Francisco, California, United States",USA,,,VC,,
Hone Capital,http://honecap.com/,https://www.linkedin.com/company/12900829,USA,USA,,,VC,,
Honeywell Ventures,https://www.honeywell.com/ventures,https://www.linkedin.com/company/honeywell,USA,USA,3. Early Revenue,,Corporate VC,,
