Investor name,Website,Linkedin,Individual LinkedIn,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
.406 Ventures,https://www.406ventures.com/,https://www.linkedin.com/company/.406-ventures/,,"Boston, Massachusetts, United States",USA,"2. Prototype,3. Early Revenue",,VC,,
01 Ventures,http://www.01ventures.com/,https://www.linkedin.com/company/01-ventures/,,"Amsterdam, Netherlands","Finland,Netherlands,UK,USA","3. Early Revenue,4. Scaling",,VC,"$200,000 ",
01booster,https://01booster.co.jp/,,,,Japan,,,VC,,
1confirmation,https://www.1confirmation.com/,,,,,,,,,
1Flourish Capital,https://www.1flourish.com/,https://www.linkedin.com/company/1flourishcapital,,,,"2. Prototype,3. Early Revenue",,VC,,
1Up Ventures,https://1upfund.com/,https://www.linkedin.com/in/edfries/,,,,"2. Prototype,3. Early Revenue",,VC,,
2B Angels,http://www.2b-angels.com,https://www.linkedin.com,,,,"2. Prototype,3. Early Revenue",,VC,,
2B-Community,https://www.2b-community.com/,,,,,"2. Prototype,3. Early Revenue",,VC,,
2C Invest,https://www.2cinvest.fr/,https://fr.linkedin.com/in/erwoan-naour-952713,,"2, rue Antoine de Saint ExupÃ©ry 69002 LYON",France,4. Scaling,,Family office,,
2M Companies,http://www.2m.com,https://www.linkedin.com/company/2m-companies-inc-,,"Dallas, Texas, United States",USA,,,Family office,,
2M2D - Tomorrow Today,https://www.2m2d.no/,https://www.linkedin.com/company/tomorrow-today-as/,,,Norway,,,Other,,
3D Innotech,http://www.3d-innotech.com/,https://www.linkedin.com/company-beta/17891263/,,,,"2. Prototype,3. Early Revenue",,VC,,
3E Bioventures,http://www.3ebiovc.com/en/,https://www.linkedin.com/company/3e-bioventures-capital/,,China,"USA,China",3. Early Revenue,,VC,,
3L Capital,https://3lcap.com/,https://www.linkedin.com/company/3lcapital/,,"1100 Glendon Avenue PH1 Los Angeles, CA 90024",USA,,,Other,,
3Rodeo,https://3rodeo.com/,https://www.linkedin.com/company/3rodeo/,,,,,,,,
3T Capital,http://www.3tcapital.com/,,,"46, rue Barrault 75634 PARIS Cedex 13 France",France,3. Early Revenue,,Other,"$300,000 ",
3TS Capital Partners,https://3tscapital.com,https://www.linkedin.com/company/3ts-capital-partners,,"Kaisaniemenkatu 2B, 8th floor FIN-00100 Helsinki, Finland","Finland,Poland,Bulgaria,Luxembourg,Austria,Turkey,Czech Republic,Slovakia,Hungary","3. Early Revenue,4. Scaling,5. Growth","We invest in exceptional high growth SMEs, which are either proven businesses becoming local leaders or truly innovative global challengers. As a stage-agnostic investor we typically invest in the range of â‚¬300,000 to â‚¬10 million to finance expansion plans, acquisitions and buyouts.

3TS primarily targets investments in the broader TMT sectors including Technology & Internet (Software, Hardware, Mobile, Ecommerce, etc.), Media & Communications (Digital Media, Operators, etc.) and Technology-Enabled Services (Consumer and Business Services, Healthcare Services, etc.).",VC,"$250,000 ",
3VC,https://www.three.vc/,https://www.linkedin.com/company/three-vc/,,"Peter-Behrens-Platz 10, Linz, Austria","Austria,Germany,Switzerland,Latvia,Estonia,Lithuania,Poland,Czech Republic,Romania,Bulgaria,Slovenia,Slovakia,Hungary,Croatia,Serbia,Ukraine,Armenia","3. Early Revenue,4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbesâ€™ Midas List) with the ability to proactively support these teams.",VC,"$1,000,000 ",
4Tech Capital Ventures,https://www.4tech-capital.com/,,,,,"3. Early Revenue,4. Scaling",,VC,,
5 Square,https://5square.nl/,,,,Netherlands,,,Other,,
5AM Ventures,https://5amventures.com/,https://www.linkedin.com/company/5amventures/,,USA,USA,3. Early Revenue,,VC,,
5M Ventures,https://www.5m-ventures.com/,https://www.linkedin.com/company/5m-ventures/,,6 Rue du GÃ©nÃ©ral Clergerie 75116 Paris,France,4. Scaling,,Other,,
7 Gate Ventures,https://7gate.vc/,,,,,,,,,
7percent Ventures,http://www.7percent.vc,https://www.linkedin.com/company/7pcventures/,https://www.linkedin.com/in/andrewjscott/,"207 Regent Street, London, United Kingdom","USA,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","2. Prototype,3. Early Revenue","We invest in the following sectors and stages. 

SECTORS

We are geography agnostic with a bias toward UK/Europe/US, and our sector choice is fluid in order to respond to market changes. Areas of interest include: Frontier Deep-tech, where one of the core challenges is technical and often the market is early or nascent; e.g. AI and Deep Learning Quantum Computing Computer Vision, AR and VR Blockchain and Crypto Drones, Robotics Space-Tech Transformative Known technical solutions (SaaS platforms, marketplaces, mobile apps etc) applied to laggard markets; e.g. Fintech and next generation Business and Consumer apps/services Manufacturing, Logistics and the 4th Industrial Revolution Technology Platforms Health-tech and Death-tech The above lists are not exhaustive. 

STAGE 

We love investing super early, our sweet spot is first or second money-in. Unlike some other investors we donâ€™t just say we invest early stage we actually do it â€“ check our portfolio. Early stage is a broad label; specifically for us it includes: Conceptual â€“ Seed/Pre-Seed rounds (concept/lean testing phase, BETA users/customers, no revenue). Pre-Revenue â€“ Seed/Angel rounds (early traction and growth trajectory with users, may have some revenue). Growth â€“ Seed+/Bridge and Series A (sustained record of growth among users, revenue and markets, looking to expand/scale). 

INVESTMENT SIZE 

Between $75k USD (Â£50k) and $1m (Â£800k), depending on stage; with an average first investment of $250k (Â£200k). This can be on our own but is more often alongside other angel investors or early stage founder-friendly VCs we know and trust. Building a great startup is incredibly hard; we support Founders with our 7EVN advisor network but also believe having a collective of great early stage investors is to everyoneâ€™s advantage. 

WHAT WE DONâ€™T INVEST IN

We will not invest in any business â€“however good it might be â€” which is not a billion dollar opportunity. See above for our definition of this. We also donâ€™t invest in areas we do not understand or where we cannot add value; FMCG and retail goods would be a good example of this.",VC,"$50,000 ",
7wire Ventures,https://www.7wireventures.com/,https://www.linkedin.com/company/7Wire-ventures,,,,"3. Early Revenue,4. Scaling",,VC,,
8-Bit Capital,https://8bitcapital.com/,https://www.linkedin.com/company/8bitcapital/,,,,"2. Prototype,3. Early Revenue",,VC,,
8VC,https://8vc.com,https://www.linkedin.com/company/8-partners/,,"Pier 5, Suite 101 San Francisco, CA 94111","USA,Israel,Canada",2. Prototype,,VC,,
9Mile Labs,https://www.9milelabs.com/,https://www.linkedin.com/company/9mile-labs,,,,,,,,
10Branch,http://www.10branch.com,https://www.linkedin.com/company/10branch-llc,,"Portland, Oregon, United States",USA,,,Family office,,
10K Ventures,https://www.10kventures.co/,https://www.linkedin.com/company/10kventures,,"Berlin, Germany","Mexico,Brazil,Spain,Germany,Nigeria,Pakistan,Bangladesh,Singapore,Indonesia","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in emerging markets - Latam, MENA, and Emerging Asia - at pre-seed to seed stages. Focused on Low-PMF-High-Execution Risk type of verticals.",Angel network,"$100,000 ",
11.2 Capital,http://www.112capital.com/about.html,https://www.linkedin.com/company/eleven-two-capital/about/,,USA,"USA,Canada",3. Early Revenue,,VC,,
