Exhibitor,Country,Stand Number,Website,Logo,Products
AA ALARM E.E.,Greece,2.459,http://www.aa-alarm.gr,,"Automation, Cyber Protection Systems, Security, Ship & Ports, Services Providers"
AABENRAA MOTORFABRIK,Denmark,2.471,,,Deck Equipment
AAM POWERTRAIN,United Kingdom,2.321,,,Ship Outfitters
ABACUS MARINE,Belgium,4.222,,,"Computer Applications, Big Data, IT Services, Energy Efficiency, Monitoring Equipment"
ABACUS MARINE CONSULTANTS,Greece,4.203,http://www.abacusmarine.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=49380,"Ballast Water Management, Consultancy Services, Design & Innovation, Electrical, Electronics, Energy Efficiency, Engineroom Equipment, Environmental Technologies, Filtration, Inert Gas Systems, LNG Technology, Management Systems, Maritime Training Programmes, Monitoring Equipment, Pipes, Fittings, Pollution Control, Pumps, Valves, Repair Services, Retrofitting, Separators, Sewage Treatment, Shipbuilding, Repair Yards, Ship Spare Parts"
ABB SA,Greece,2.211,http://www.abb.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3178,"Automation, Electrical, Electronics, Energy Efficiency, Engineroom Equipment, Environmental Technologies, Monitoring Equipment, Propulsion Systems, Repair Services, Retrofitting, Services Providers, Ship Spare Parts"
ABB TURBO SYSTEMS LTD,Switzerland,2.211,,,"Energy Efficiency, Engineroom Equipment, Repair Services, Ship Spare Parts"
ABC MARINE SERVICES LTD,Greece,4.320/F,,,"Bearings, In/Under-Water Repairs & Services, Propellers, Propulsion Systems, Repair Services, Seals & Packings, Ship Spare Parts, Stabilisers, Steering Gear, Equipment, Underwater Technology"
ABS,USA,"3.101,WS12,CWS7,LWS3",http://www.eagle.org ,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3251,"Air Emissions Control, Ballast Water Management, Classification Societies, Clean Energy Solutions & Equipment, Design & Innovation, Electrical, Electronics, Energy Efficiency, Environmental Technologies, Management Systems, Maritime Education, Maritime Training Programmes, Offshore Services, Propulsion Systems, Safety Equipment, Services, Security, Ship & Ports, Services Providers, Underwater Technology"
ABS ACADEMY,Greece,3.101,,,Maritime Training Programmes
ABS NAUTICAL SYSTEMS,USA,3.101,,,"Computer Applications, Big Data, IT Services"
ACM COMPOSITE BEARINGS,United Kingdom,1.221/B,http://www.acmbearings.co.uk,,Bearings
ACME,United Arab Emirates,3.425,,,Ship Spare Parts
ACR ARTEX,United Kingdom,2.525,,,"Beacons, Markers"
ACS - AMERICAN COMMUNICATION SYSTEM,USA,4.219,http://www.helexco.eu,,"Communication Aids, Satellite Communications"
ACTIVE COMPUTER SYSTEMS S.A.,Greece,3.519,http://www.active.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=59022,"Computer Applications, Big Data, IT Services"
ADAMS SHIP BUILDINGS & REPAIRS,United Arab Emirates,1.317,,,Repair Services
ADASH,Czech Republic,3.554,,,Monitoring Equipment
ADRIATIC BIJELA SHIPYARD,Montenegro,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
ADSB,United Arab Emirates,3.412,http://www.adsb.ae,,"Shipbuilding, Repair Yards"
ADVANCED POLYMER COATINGS-MARINELINE,USA,2.356,http://www.adv-polymer.com,,"Coatings, Paints"
ADVANTAGE AUSTRIA,Greece,1.241,http://www.advantageaustria.org/gr,,"Associations, Organisations, Consultancy Services"
ADVANTECH AE,Greece,3.151,http://www.advantech.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61291,"Automation, Computer Applications, Big Data, IT Services, Electrical, Electronics, Monitoring Equipment"
ADVANTECH EUROPE BV,Italy,3.348,http://www.advantech.eu,,"Computer Applications, Big Data, IT Services"
AEGEAN AIRLINES,Greece,3.423,http://www.aegeanair.com,,"Airlines, Aviation"
AEGEAN COLLEGE,Greece,3.558,,,
