Id,Name,Type,Profile,Image,Location,CorpStreet,ZipCode,City,Country,Tel,Fax,Email,LinkedIn,Facebook,Instagram,Twitter,Xing,Web,Product
57478,3A Composites GmbH,corporation,"3A Composites Transport & Industry Europe is an international division of the 3A Composites Group and part of Schweiter Technologies AG. We are the leading manufacturer, along with Athlone Extrusions Ltd., the Polycasa Group and Perspex International Ltd., for extruded plastic sheets, aluminium composite materials and lightweight foamboards for the fields of agricultural and commercial vehicles, caravans, sanitary ware, furniture construction, shipbuilding and the rail vehicle construction industry.

This variety means that we can offer our customers a unique and perfectly coordinated range of products – and everything is from a single source.

We attach particular importance to sustainable manufacturing processes and environmentally friendly materials. Our goal is to ensure the prompt supply of innovative, top-quality products which are tailored to our customers’ needs.

BOUNDLESS POSSIBILITIES FOR TRANSPORT AND INDUSTRY APPLICATIONS.","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__13432__240x240px/SM22_2022_229305_3492231_av.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__13432__480x480px/SM22_2022_229305_3492231_av.png
","Hall B7, Stand 718",Alusingenplatz 1,78224,Singen,DE,+49 7731-941 3500,,transport-industry@3AComposites.com,https://www.linkedin.com/company/3acomposites-transportindustry/,,,,,https://www.transport-industry.com/home.html,"ALUCORE®
ALUCOBOND® PLUS
"
54693,3R solutions GmbH,corporation,"3R offers a piping software framework and pipe-shop turnkey projects.
3R’s piping software framework consists of applications for pipeline design, feasibility checks, spooling, nesting, warehousing, CNC-fabrication, scheduling/monitoring, material and QA/QC weld tracking and complete documentation.
3R’s automated pipe-shop solutions are designed with experience of more than 40 years in the field of pipe spool fabrication. Focusing on carefully planned workshop layouts and selection of equipment 3R offers cost-effective, tailor-made pipe-shops to suit the desired output and quality of fabrication.
Automated transport, optimized nesting and full software integration ensure a continuous workflow and minimize machine and manpower idle times.
No matter if you consider to invest into a pipe-shop, pipe-shop consulting or piping software, 3R provides highly customized solutions from one single source based on your individual needs.
","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B2.EG, Stand 220",Kleistraße 39,59073,Hamm,DE,+49 2381-9724-710,,einkauf@3-r.de,https://www.linkedin.com/company/3r-gmbh/,,,,,https://www.3-r.de,
62955,4sea trading GmbH,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B4.OG, Stand 116",Industriestraße 12,49733,Haren,DE,+49 5934-7049800,,info@4sea-trading.de,,,,,,https://www.4sea-trading.de,
57479,4TaKT BV,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall A4, Stand 401.1",Daalderweg 6,4879 AX,Etten-Leur,NL,+31 78-6176811,,info@4taktbv.nl,,,,,,https://www.4taktbv.nl,
65571,7deniz bas. Yay.Rek.Dan.Tur ve Org.,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__16932__240x240px/SM22_2022_228573_3546789_av.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__16932__480x480px/SM22_2022_228573_3546789_av.png
","Hall FO.EG, Stand Entrances East,South,West+Central",Osmanaga Mahallesi Resat Efendi ,34734,Istanbul,TR,-2165505456,,info@7deniz.net,,,,,,https://www.7deniz.net,
63502,A & P Group Limited,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B1.OG, Stand 324",Wagonway Road ,NE31 1SP,Hebburn,GB,+44 771-7415114,,info@ap-group.co.uk,https://www.linkedin.com/company/a&p-group-limited,,,,,https://www.ap-group.co.uk,
61254,A&R Services GmbH,corporation,"A&R Services is a subsidiary of Abeking & Rasmussen Schiffs- und Yachtwerft SE. The company was formed from Ocean Logistics GmbH, which was founded in 2000, and changed its name to A&R Services in 2014.
Navy vessels, specially commissioned ships and large yachts come in all shapes and sizes, and all have their own specific features. And in this field, any kind of physical, technical or functional defect is one defect too many. This is why we carry out the different tasks on your boat with the utmost care and attention. Our servicing, maintenance, repairs and refitting services will optimize your enjoyment and give you peace of mind on board. At the end of the day, outstanding boats deserve an outstanding level maintenance of service.
We look below the surface:

1) Documentation

	- System description 
	- Technical manuals 
	- Master Manuals 
	- On board spare parts lists 
	- Operation manual

2) Service & Maintenance

	- Production hangars for ships of up to 125 m length 
	- Excellent infrastructure on site 
	- Specialised workshops and tools 
	- Troubleshooting and technical support 
	- Maintenance and repair services worldwide 
	- Meticulous documentation of all services 
	- Maintenance plan / schedule 
	- Refurbishments and alterations

3) Sapre parts supply

	- Technology, timing and transport 
	- Complete control possibility 
	- Uninterrupted product tracking 
	- Storage requirement spare parts 
	- Electronic materials management 
	- Spare parts stock planning and organization

4) Ship certificate / Measurement on Site

	- On site testing for ship list 
	- Immaculate and clear ship documentation including the necessary ship certificates 
	- Energy balance 
	- Stability documentation 
	- Control system configuration
","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B4.EG, Stand 212",An der Fähre 2,27809,Lemwerder,DE,+49 421-6491-0,,service@aurservices.com,https://www.linkedin.com/company/abeking-rasmussen,,,,,https://www.aurservices.com,
54735,A-SPE Europe I. Mianowski Spólka Jawna,corporation,"We are your global supply partner with over 15 years of experience in providing safety marking products to marine, offshore and oil & gas industries. Our field of expertise is production of photoluminescent IMO Safety Signs, Low Location Lighting Systems, Pipe Marking Tapes and other specialized technical tapes to equip vessels in compliance with all relevant marine standards and regulations. We have been trusted by shipyards, ship chandlers and industrial customers from over 70 countries worldwide, and their satisfaction is the best recommendation of our company.","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B5, Stand 112",Agatowa 5,82-310,Gronowo Górne,PL,+48 55-2367736,,info@a-spe.com,https://www.linkedin.com/company/a-spe-europe-sp-j,https://www.facebook.com/aspeeurope,,,,https://a-spe.com/,"Pontus hand tools
"
64815,A. Manzoni & C. spa,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__16354__240x240px/SM22_2022_244149_3534620_av.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__16354__480x480px/SM22_2022_244149_3534620_av.png
","Hall FO.EG, Stand Entrances east, south, west, central",Piazza Piccapietra 21,16123,Genova,IT,+39 010-5388819,,press@themeditelegraph.com,https://www.linkedin.com/groups/4996352/,,,,,https://www.themeditelegraph.com/it,
62668,A.T.P. Avanzate Tecnologie Plastiche SRL,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B3.OG, Stand 237",Viale dell'Industria N. 3,76121,Barletta (BT),IT,+39 0883-533167,,atp@atpsrl.it,,,,,,https://www.atpsrl.net,
